="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="L.ln_gdpk",="L.ln_gdpk",="L.divorce_y",="L.divorce_y",="L.divorce_yrt",="L.divorce_yrt"
="",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se"
="Interpolation of popi_ipo on year",="-0.000***",="-0.000***",="0.023***",="0.023***",="-0.000*",="-0.000*"
="",="(0.00)",="(0.00)",="(0.00)",="(0.00)",="(0.00)",="(0.00)"
="Interpolation of educ_hs on year",="0.000***",="0.000***",="0.230***",="0.230***",="0.000**",="0.000**"
="",="(0.00)",="(0.00)",="(0.01)",="(0.01)",="(0.00)",="(0.00)"
="con1000",="-0.044**",="-0.039**",="4343.698***",="4343.698***",="0.009***",="0.009***"
="",="(0.01)",="(0.01)",="(1016.12)",="(1016.12)",="(0.00)",="(0.00)"
="conhs1000",="0.610***",="0.581***",="-8498.974*",="-8498.974*",="0.004",="0.004"
="",="(0.05)",="(0.05)",="(3786.53)",="(3786.53)",="(0.00)",="(0.00)"
="period16=0",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="period16=1",="0.161",="0.174",="16175.524*",="16175.524*",="-0.007",="-0.007"
="",="(0.11)",="(0.12)",="(7827.64)",="(7827.64)",="(0.01)",="(0.01)"
="cat_cpk16_p75=0",="0.000",="",="",="",="",=""
="",="(.)",="",="",="",="",=""
="cat_cpk16_p75=1",="0.056**",="",="",="",="",=""
="",="(0.02)",="",="",="",="",=""
="period16=0 # cat_cpk16_p75=0",="0.000",="",="",="",="",=""
="",="(.)",="",="",="",="",=""
="period16=0 # cat_cpk16_p75=1",="0.000",="",="",="",="",=""
="",="(.)",="",="",="",="",=""
="period16=1 # cat_cpk16_p75=0",="0.000",="",="",="",="",=""
="",="(.)",="",="",="",="",=""
="period16=1 # cat_cpk16_p75=1",="-0.129***",="",="",="",="",=""
="",="(0.04)",="",="",="",="",=""
="year=2001",="0.000",="0.000",="",="",="",=""
="",="(.)",="(.)",="",="",="",=""
="year=2002",="-0.377***",="-0.376***",="0.000",="0.000",="0.000",="0.000"
="",="(0.10)",="(0.10)",="(.)",="(.)",="(.)",="(.)"
="year=2003",="-0.222*",="-0.221*",="2762.967",="2762.967",="0.001",="0.001"
="",="(0.10)",="(0.10)",="(6891.99)",="(6891.99)",="(0.01)",="(0.01)"
="year=2004",="-0.006",="-0.004",="3421.233",="3421.233",="0.002",="0.002"
="",="(0.10)",="(0.10)",="(6894.95)",="(6894.95)",="(0.01)",="(0.01)"
="year=2005",="0.502***",="0.505***",="6706.170",="6706.170",="0.012",="0.012"
="",="(0.10)",="(0.10)",="(6903.09)",="(6903.09)",="(0.01)",="(0.01)"
="year=2006",="0.658***",="0.661***",="6551.408",="6551.408",="0.007",="0.007"
="",="(0.10)",="(0.10)",="(6895.14)",="(6895.14)",="(0.01)",="(0.01)"
="year=2007",="0.632***",="0.635***",="7520.794",="7520.794",="0.002",="0.002"
="",="(0.10)",="(0.10)",="(6915.08)",="(6915.08)",="(0.01)",="(0.01)"
="year=2008",="0.877***",="0.880***",="12430.856",="12430.856",="0.011",="0.011"
="",="(0.10)",="(0.10)",="(6901.71)",="(6901.71)",="(0.01)",="(0.01)"
="year=2009",="0.955***",="0.960***",="14809.223*",="14809.223*",="0.018*",="0.018*"
="",="(0.10)",="(0.10)",="(6916.08)",="(6916.08)",="(0.01)",="(0.01)"
="year=2010",="0.677***",="0.685***",="17708.921*",="17708.921*",="0.020**",="0.020**"
="",="(0.10)",="(0.10)",="(6958.35)",="(6958.35)",="(0.01)",="(0.01)"
="year=2011",="0.896***",="0.902***",="19412.555**",="19412.555**",="0.022**",="0.022**"
="",="(0.10)",="(0.10)",="(6947.38)",="(6947.38)",="(0.01)",="(0.01)"
="year=2012",="0.871***",="0.879***",="19711.676**",="19711.676**",="0.017*",="0.017*"
="",="(0.10)",="(0.10)",="(6981.26)",="(6981.26)",="(0.01)",="(0.01)"
="year=2013",="0.828***",="0.836***",="17655.455*",="17655.455*",="0.008",="0.008"
="",="(0.10)",="(0.10)",="(7060.69)",="(7060.69)",="(0.01)",="(0.01)"
="year=2014",="0.863***",="0.871***",="22073.496**",="22073.496**",="0.011",="0.011"
="",="(0.10)",="(0.10)",="(7071.67)",="(7071.67)",="(0.01)",="(0.01)"
="year=2015",="0.765***",="0.777***",="25561.248***",="25561.248***",="0.014",="0.014"
="",="(0.10)",="(0.10)",="(7121.06)",="(7121.06)",="(0.01)",="(0.01)"
="year=2016",="0.515***",="0.503***",="6171.033",="6171.033",="0.021**",="0.021**"
="",="(0.10)",="(0.10)",="(7117.75)",="(7117.75)",="(0.01)",="(0.01)"
="year=2017",="0.441***",="0.430***",="-2209.205",="-2209.205",="0.008",="0.008"
="",="(0.10)",="(0.10)",="(7052.71)",="(7052.71)",="(0.01)",="(0.01)"
="year=2018",="0.215*",="0.210*",="-6471.994",="-6471.994",="-0.005",="-0.005"
="",="(0.10)",="(0.10)",="(6932.61)",="(6932.61)",="(0.01)",="(0.01)"
="year=2019",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="dogu",="-0.245**",="-0.243**",="3405.510",="3405.510",="-0.023***",="-0.023***"
="",="(0.09)",="(0.09)",="(6067.79)",="(6067.79)",="(0.01)",="(0.01)"
="ege",="0.129",="0.147",="15749.101*",="15749.101*",="0.013",="0.013"
="",="(0.10)",="(0.10)",="(6917.84)",="(6917.84)",="(0.01)",="(0.01)"
="guneydogu",="-0.102",="-0.098",="-3190.763",="-3190.763",="-0.021**",="-0.021**"
="",="(0.10)",="(0.10)",="(6924.12)",="(6924.12)",="(0.01)",="(0.01)"
="icanadolu",="0.179*",="0.188*",="9822.427",="9822.427",="0.012",="0.012"
="",="(0.09)",="(0.09)",="(6222.03)",="(6222.03)",="(0.01)",="(0.01)"
="karadeniz",="0.041",="0.038",="7501.717",="7501.717",="-0.009",="-0.009"
="",="(0.09)",="(0.09)",="(5892.36)",="(5892.36)",="(0.01)",="(0.01)"
="marmara",="0.489***",="0.495***",="-3536.930",="-3536.930",="-0.003",="-0.003"
="",="(0.09)",="(0.09)",="(6436.76)",="(6436.76)",="(0.01)",="(0.01)"
="year=2001 # akdeniz",="0.000",="0.000",="",="",="",=""
="",="(.)",="(.)",="",="",="",=""
="year=2001 # dogu",="0.000",="0.000",="",="",="",=""
="",="(.)",="(.)",="",="",="",=""
="year=2001 # ege",="0.000",="0.000",="",="",="",=""
="",="(.)",="(.)",="",="",="",=""
="year=2001 # guneydogu",="0.000",="0.000",="",="",="",=""
="",="(.)",="(.)",="",="",="",=""
="year=2001 # icanadolu",="0.000",="0.000",="",="",="",=""
="",="(.)",="(.)",="",="",="",=""
="year=2001 # karadeniz",="0.000",="0.000",="",="",="",=""
="",="(.)",="(.)",="",="",="",=""
="year=2001 # marmara",="0.000",="0.000",="",="",="",=""
="",="(.)",="(.)",="",="",="",=""
="year=2002 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2002 # dogu",="-0.007",="-0.008",="0.000",="0.000",="0.000",="0.000"
="",="(0.13)",="(0.13)",="(.)",="(.)",="(.)",="(.)"
="year=2002 # ege",="0.016",="0.016",="0.000",="0.000",="0.000",="0.000"
="",="(0.14)",="(0.14)",="(.)",="(.)",="(.)",="(.)"
="year=2002 # guneydogu",="-0.058",="-0.059",="0.000",="0.000",="0.000",="0.000"
="",="(0.14)",="(0.14)",="(.)",="(.)",="(.)",="(.)"
="year=2002 # icanadolu",="0.033",="0.032",="0.000",="0.000",="0.000",="0.000"
="",="(0.13)",="(0.13)",="(.)",="(.)",="(.)",="(.)"
="year=2002 # karadeniz",="0.014",="0.013",="0.000",="0.000",="0.000",="0.000"
="",="(0.12)",="(0.12)",="(.)",="(.)",="(.)",="(.)"
="year=2002 # marmara",="0.015",="0.015",="0.000",="0.000",="0.000",="0.000"
="",="(0.13)",="(0.13)",="(.)",="(.)",="(.)",="(.)"
="year=2003 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2003 # dogu",="-0.032",="-0.032",="-1953.042",="-1953.042",="-0.000",="-0.000"
="",="(0.13)",="(0.13)",="(8531.90)",="(8531.90)",="(0.01)",="(0.01)"
="year=2003 # ege",="-0.006",="-0.005",="-1766.915",="-1766.915",="0.002",="0.002"
="",="(0.14)",="(0.14)",="(9745.33)",="(9745.33)",="(0.01)",="(0.01)"
="year=2003 # guneydogu",="-0.083",="-0.083",="-482.419",="-482.419",="0.001",="0.001"
="",="(0.14)",="(0.14)",="(9744.15)",="(9744.15)",="(0.01)",="(0.01)"
="year=2003 # icanadolu",="-0.001",="-0.001",="-1787.376",="-1787.376",="0.002",="0.002"
="",="(0.13)",="(0.13)",="(8757.88)",="(8757.88)",="(0.01)",="(0.01)"
="year=2003 # karadeniz",="-0.007",="-0.008",="-672.296",="-672.296",="0.004",="0.004"
="",="(0.12)",="(0.12)",="(8282.56)",="(8282.56)",="(0.01)",="(0.01)"
="year=2003 # marmara",="-0.003",="-0.003",="4.568",="4.568",="-0.001",="-0.001"
="",="(0.13)",="(0.13)",="(9055.46)",="(9055.46)",="(0.01)",="(0.01)"
="year=2004 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2004 # dogu",="0.059",="0.058",="-1865.719",="-1865.719",="0.001",="0.001"
="",="(0.13)",="(0.13)",="(8532.91)",="(8532.91)",="(0.01)",="(0.01)"
="year=2004 # ege",="0.023",="0.024",="-1675.286",="-1675.286",="0.003",="0.003"
="",="(0.14)",="(0.14)",="(9751.66)",="(9751.66)",="(0.01)",="(0.01)"
="year=2004 # guneydogu",="-0.006",="-0.007",="-1205.147",="-1205.147",="-0.003",="-0.003"
="",="(0.14)",="(0.14)",="(9744.60)",="(9744.60)",="(0.01)",="(0.01)"
="year=2004 # icanadolu",="0.056",="0.056",="-5655.298",="-5655.298",="-0.004",="-0.004"
="",="(0.13)",="(0.13)",="(8757.96)",="(8757.96)",="(0.01)",="(0.01)"
="year=2004 # karadeniz",="0.058",="0.057",="-1317.456",="-1317.456",="0.002",="0.002"
="",="(0.12)",="(0.12)",="(8284.75)",="(8284.75)",="(0.01)",="(0.01)"
="year=2004 # marmara",="0.044",="0.044",="-6073.324",="-6073.324",="-0.004",="-0.004"
="",="(0.13)",="(0.13)",="(9056.98)",="(9056.98)",="(0.01)",="(0.01)"
="year=2005 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2005 # dogu",="-0.194",="-0.195",="-4300.688",="-4300.688",="-0.008",="-0.008"
="",="(0.13)",="(0.13)",="(8533.60)",="(8533.60)",="(0.01)",="(0.01)"
="year=2005 # ege",="0.017",="0.019",="-1615.163",="-1615.163",="0.001",="0.001"
="",="(0.14)",="(0.14)",="(9758.84)",="(9758.84)",="(0.01)",="(0.01)"
="year=2005 # guneydogu",="-0.302*",="-0.304*",="-3386.713",="-3386.713",="-0.007",="-0.007"
="",="(0.14)",="(0.14)",="(9750.95)",="(9750.95)",="(0.01)",="(0.01)"
="year=2005 # icanadolu",="-0.193",="-0.194",="-6324.617",="-6324.617",="-0.003",="-0.003"
="",="(0.13)",="(0.13)",="(8758.20)",="(8758.20)",="(0.01)",="(0.01)"
="year=2005 # karadeniz",="-0.095",="-0.095",="-2655.945",="-2655.945",="-0.001",="-0.001"
="",="(0.12)",="(0.12)",="(8283.02)",="(8283.02)",="(0.01)",="(0.01)"
="year=2005 # marmara",="-0.147",="-0.146",="-7363.770",="-7363.770",="-0.005",="-0.005"
="",="(0.13)",="(0.13)",="(9058.86)",="(9058.86)",="(0.01)",="(0.01)"
="year=2006 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2006 # dogu",="-0.185",="-0.187",="-4556.586",="-4556.586",="-0.006",="-0.006"
="",="(0.13)",="(0.13)",="(8533.13)",="(8533.13)",="(0.01)",="(0.01)"
="year=2006 # ege",="-0.003",="-0.001",="3790.637",="3790.637",="0.007",="0.007"
="",="(0.14)",="(0.14)",="(9753.34)",="(9753.34)",="(0.01)",="(0.01)"
="year=2006 # guneydogu",="-0.283*",="-0.284*",="-1941.917",="-1941.917",="-0.003",="-0.003"
="",="(0.14)",="(0.14)",="(9747.38)",="(9747.38)",="(0.01)",="(0.01)"
="year=2006 # icanadolu",="-0.173",="-0.174",="-2763.443",="-2763.443",="0.003",="0.003"
="",="(0.13)",="(0.13)",="(8760.54)",="(8760.54)",="(0.01)",="(0.01)"
="year=2006 # karadeniz",="-0.095",="-0.096",="-4287.855",="-4287.855",="-0.002",="-0.002"
="",="(0.12)",="(0.12)",="(8283.29)",="(8283.29)",="(0.01)",="(0.01)"
="year=2006 # marmara",="-0.140",="-0.140",="2357.252",="2357.252",="0.005",="0.005"
="",="(0.13)",="(0.13)",="(9057.55)",="(9057.55)",="(0.01)",="(0.01)"
="year=2007 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2007 # dogu",="-0.150",="-0.152",="-6205.596",="-6205.596",="-0.004",="-0.004"
="",="(0.13)",="(0.13)",="(8533.72)",="(8533.72)",="(0.01)",="(0.01)"
="year=2007 # ege",="0.007",="0.008",="-1219.079",="-1219.079",="-0.004",="-0.004"
="",="(0.14)",="(0.14)",="(9745.54)",="(9745.54)",="(0.01)",="(0.01)"
="year=2007 # guneydogu",="-0.222",="-0.225",="-3552.738",="-3552.738",="-0.002",="-0.002"
="",="(0.14)",="(0.14)",="(9750.93)",="(9750.93)",="(0.01)",="(0.01)"
="year=2007 # icanadolu",="-0.170",="-0.172",="-5643.127",="-5643.127",="-0.002",="-0.002"
="",="(0.13)",="(0.13)",="(8759.25)",="(8759.25)",="(0.01)",="(0.01)"
="year=2007 # karadeniz",="-0.069",="-0.070",="-6857.717",="-6857.717",="-0.002",="-0.002"
="",="(0.12)",="(0.12)",="(8281.93)",="(8281.93)",="(0.01)",="(0.01)"
="year=2007 # marmara",="-0.142",="-0.141",="-2729.091",="-2729.091",="-0.003",="-0.003"
="",="(0.13)",="(0.13)",="(9056.45)",="(9056.45)",="(0.01)",="(0.01)"
="year=2008 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2008 # dogu",="-0.140",="-0.142",="-8974.378",="-8974.378",="-0.006",="-0.006"
="",="(0.13)",="(0.13)",="(8534.64)",="(8534.64)",="(0.01)",="(0.01)"
="year=2008 # ege",="0.008",="0.009",="-3621.015",="-3621.015",="-0.002",="-0.002"
="",="(0.14)",="(0.14)",="(9748.40)",="(9748.40)",="(0.01)",="(0.01)"
="year=2008 # guneydogu",="-0.259",="-0.263",="-6375.061",="-6375.061",="-0.006",="-0.006"
="",="(0.14)",="(0.14)",="(9753.92)",="(9753.92)",="(0.01)",="(0.01)"
="year=2008 # icanadolu",="-0.172",="-0.173",="-7103.737",="-7103.737",="-0.000",="-0.000"
="",="(0.13)",="(0.13)",="(8760.89)",="(8760.89)",="(0.01)",="(0.01)"
="year=2008 # karadeniz",="-0.070",="-0.071",="-8498.108",="-8498.108",="-0.002",="-0.002"
="",="(0.12)",="(0.12)",="(8285.93)",="(8285.93)",="(0.01)",="(0.01)"
="year=2008 # marmara",="-0.107",="-0.107",="484.754",="484.754",="0.003",="0.003"
="",="(0.13)",="(0.13)",="(9060.15)",="(9060.15)",="(0.01)",="(0.01)"
="year=2009 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2009 # dogu",="-0.115",="-0.118",="-10968.315",="-10968.315",="-0.010",="-0.010"
="",="(0.13)",="(0.13)",="(8538.85)",="(8538.85)",="(0.01)",="(0.01)"
="year=2009 # ege",="0.010",="0.011",="-2642.480",="-2642.480",="-0.003",="-0.003"
="",="(0.14)",="(0.14)",="(9747.25)",="(9747.25)",="(0.01)",="(0.01)"
="year=2009 # guneydogu",="-0.241",="-0.245",="-9081.875",="-9081.875",="-0.009",="-0.009"
="",="(0.14)",="(0.14)",="(9756.93)",="(9756.93)",="(0.01)",="(0.01)"
="year=2009 # icanadolu",="-0.132",="-0.134",="-7067.074",="-7067.074",="0.002",="0.002"
="",="(0.13)",="(0.13)",="(8768.51)",="(8768.51)",="(0.01)",="(0.01)"
="year=2009 # karadeniz",="-0.007",="-0.009",="-11195.584",="-11195.584",="-0.004",="-0.004"
="",="(0.12)",="(0.12)",="(8292.01)",="(8292.01)",="(0.01)",="(0.01)"
="year=2009 # marmara",="-0.105",="-0.105",="-5977.513",="-5977.513",="-0.003",="-0.003"
="",="(0.13)",="(0.13)",="(9062.62)",="(9062.62)",="(0.01)",="(0.01)"
="year=2010 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2010 # dogu",="-0.035",="-0.039",="-13343.558",="-13343.558",="-0.010",="-0.010"
="",="(0.13)",="(0.13)",="(8543.96)",="(8543.96)",="(0.01)",="(0.01)"
="year=2010 # ege",="-0.029",="-0.027",="-5635.028",="-5635.028",="-0.006",="-0.006"
="",="(0.14)",="(0.14)",="(9747.75)",="(9747.75)",="(0.01)",="(0.01)"
="year=2010 # guneydogu",="-0.179",="-0.185",="-12306.508",="-12306.508",="-0.011",="-0.011"
="",="(0.14)",="(0.14)",="(9766.14)",="(9766.14)",="(0.01)",="(0.01)"
="year=2010 # icanadolu",="-0.099",="-0.101",="-8632.404",="-8632.404",="0.003",="0.003"
="",="(0.13)",="(0.13)",="(8771.08)",="(8771.08)",="(0.01)",="(0.01)"
="year=2010 # karadeniz",="0.036",="0.033",="-14196.713",="-14196.713",="-0.005",="-0.005"
="",="(0.12)",="(0.12)",="(8295.13)",="(8295.13)",="(0.01)",="(0.01)"
="year=2010 # marmara",="-0.125",="-0.127",="-4782.829",="-4782.829",="-0.003",="-0.003"
="",="(0.13)",="(0.13)",="(9058.79)",="(9058.79)",="(0.01)",="(0.01)"
="year=2011 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2011 # dogu",="0.017",="0.012",="-16370.463",="-16370.463",="-0.009",="-0.009"
="",="(0.13)",="(0.13)",="(8553.80)",="(8553.80)",="(0.01)",="(0.01)"
="year=2011 # ege",="-0.063",="-0.061",="-3632.825",="-3632.825",="-0.002",="-0.002"
="",="(0.14)",="(0.14)",="(9750.44)",="(9750.44)",="(0.01)",="(0.01)"
="year=2011 # guneydogu",="-0.154",="-0.160",="-15923.216",="-15923.216",="-0.012",="-0.012"
="",="(0.14)",="(0.14)",="(9766.49)",="(9766.49)",="(0.01)",="(0.01)"
="year=2011 # icanadolu",="-0.125",="-0.127",="-10325.852",="-10325.852",="0.005",="0.005"
="",="(0.13)",="(0.13)",="(8768.71)",="(8768.71)",="(0.01)",="(0.01)"
="year=2011 # karadeniz",="-0.009",="-0.011",="-15318.069",="-15318.069",="-0.004",="-0.004"
="",="(0.12)",="(0.12)",="(8290.11)",="(8290.11)",="(0.01)",="(0.01)"
="year=2011 # marmara",="-0.186",="-0.186",="-7694.941",="-7694.941",="-0.002",="-0.002"
="",="(0.13)",="(0.13)",="(9059.81)",="(9059.81)",="(0.01)",="(0.01)"
="year=2012 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2012 # dogu",="0.027",="0.023",="-18568.323*",="-18568.323*",="-0.014",="-0.014"
="",="(0.13)",="(0.13)",="(8559.94)",="(8559.94)",="(0.01)",="(0.01)"
="year=2012 # ege",="-0.028",="-0.026",="-6791.074",="-6791.074",="-0.008",="-0.008"
="",="(0.14)",="(0.14)",="(9751.18)",="(9751.18)",="(0.01)",="(0.01)"
="year=2012 # guneydogu",="-0.138",="-0.144",="-17980.901",="-17980.901",="-0.014",="-0.014"
="",="(0.14)",="(0.14)",="(9769.05)",="(9769.05)",="(0.01)",="(0.01)"
="year=2012 # icanadolu",="-0.124",="-0.125",="-14633.098",="-14633.098",="-0.003",="-0.003"
