="",="(1)",="(2)",="(3)",="(4)"
="",="L.ln_gdpk",="L.suicide_yrt",="L.divorce_yrt",="L.divorce_y"
="",="b/se",="b/se",="b/se",="b/se"
="Interpolation of popi_ipo on year",="-0.000***",="-0.000",="-0.000*",="0.018***"
="",="(0.00)",="(0.00)",="(0.00)",="(0.00)"
="Interpolation of educ_hs on year",="0.000***",="0.000",="0.000***",="0.248***"
="",="(0.00)",="(0.00)",="(0.00)",="(0.01)"
="con1000",="-0.033*",="0.000**",="0.007***",="3604.704***"
="",="(0.01)",="(0.00)",="(0.00)",="(1031.09)"
="conhs1000",="0.591***",="0.000",="0.009*",="-4478.473"
="",="(0.05)",="(0.00)",="(0.00)",="(3790.64)"
="period11=0",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="period11=1",="0.810***",="0.001",="0.014",="21623.574**"
="",="(0.11)",="(0.00)",="(0.01)",="(7194.06)"
="cat_rise11_75=0",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="cat_rise11_75=1",="0.064***",="0.000*",="0.012***",="7836.459***"
="",="(0.02)",="(0.00)",="(0.00)",="(1164.75)"
="period11=0 # cat_rise11_75=0",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="period11=0 # cat_rise11_75=1",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="period11=1 # cat_rise11_75=0",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="period11=1 # cat_rise11_75=1",="-0.069*",="-0.000",="-0.000",="1961.101"
="",="(0.03)",="(0.00)",="(0.00)",="(2145.68)"
="period16=0",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="period16=1",="0.153",="0.000",="-0.006",="13324.835"
="",="(0.11)",="(0.00)",="(0.01)",="(7706.26)"
="cat_rise16_75=0",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="cat_rise16_75=1",="0.008",="-0.000",="0.001",="7638.966***"
="",="(0.01)",="(0.00)",="(0.00)",="(1046.43)"
="period16=0 # cat_rise16_75=0",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="period16=0 # cat_rise16_75=1",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="period16=1 # cat_rise16_75=0",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="period16=1 # cat_rise16_75=1",="-0.141***",="0.000",="-0.007**",="222.589"
="",="(0.03)",="(0.00)",="(0.00)",="(2188.64)"
="year=2001",="0.000",="0.000",="",=""
="",="(.)",="(.)",="",=""
="year=2002",="-0.374***",="0.001",="0.000",="0.000"
="",="(0.10)",="(0.00)",="(.)",="(.)"
="year=2003",="-0.221*",="0.001",="0.002",="2739.501"
="",="(0.10)",="(0.00)",="(0.01)",="(6822.16)"
="year=2004",="-0.005",="0.001",="0.002",="3181.449"
="",="(0.10)",="(0.00)",="(0.01)",="(6824.95)"
="year=2005",="0.511***",="0.001",="0.011",="6234.230"
="",="(0.10)",="(0.00)",="(0.01)",="(6834.10)"
="year=2006",="0.663***",="0.001",="0.006",="5914.539"
="",="(0.10)",="(0.00)",="(0.01)",="(6825.53)"
="year=2007",="0.630***",="0.002",="0.002",="6645.299"
