="",="(1)",="(2)",="(3)",="(4)"
="",="L.ln_gdpk",="L.suicide_yrt",="L.divorce_yrt",="L.divorce_y"
="",="b/se",="b/se",="b/se",="b/se"
="Interpolation of popi_ipo on year",="-0.000***",="-0.000",="-0.000*",="0.022***"
="",="(0.00)",="(0.00)",="(0.00)",="(0.00)"
="Interpolation of educ_hs on year",="0.000***",="0.000*",="0.000**",="0.238***"
="",="(0.00)",="(0.00)",="(0.00)",="(0.01)"
="con1000",="-0.042**",="0.000***",="0.009***",="7345.529***"
="",="(0.01)",="(0.00)",="(0.00)",="(971.41)"
="conhs1000",="0.604***",="-0.000",="0.001",="-19157.638***"
="",="(0.06)",="(0.00)",="(0.00)",="(3984.82)"
="period11=0",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="period11=1",="0.804***",="0.001",="0.015",="26656.756***"
="",="(0.11)",="(0.00)",="(0.01)",="(7242.78)"
="cat_rise11_75=0",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="cat_rise11_75=1",="0.033*",="0.000*",="0.005***",="6980.526***"
="",="(0.02)",="(0.00)",="(0.00)",="(1133.23)"
="period11=0 # cat_rise11_75=0",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="period11=0 # cat_rise11_75=1",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="period11=1 # cat_rise11_75=0",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="period11=1 # cat_rise11_75=1",="-0.070*",="0.000",="0.001",="1039.644"
="",="(0.03)",="(0.00)",="(0.00)",="(2121.10)"
="period16=0",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="period16=1",="0.183",="0.001",="-0.001",="21314.437**"
="",="(0.12)",="(0.00)",="(0.01)",="(7925.98)"
="cat_rise16_75=0",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="cat_rise16_75=1",="0.066***",="0.000*",="0.004**",="5657.321***"
="",="(0.01)",="(0.00)",="(0.00)",="(1057.27)"
="period16=0 # cat_rise16_75=0",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="period16=0 # cat_rise16_75=1",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="period16=1 # cat_rise16_75=0",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="period16=1 # cat_rise16_75=1",="-0.131***",="-0.000",="-0.006*",="2066.108"
="",="(0.03)",="(0.00)",="(0.00)",="(2301.50)"
="year=2001",="0.000",="0.000",="",=""
="",="(.)",="(.)",="",=""
="year=2002",="-0.376***",="0.001",="0.000",="0.000"
="",="(0.10)",="(0.00)",="(.)",="(.)"
="year=2003",="-0.221*",="0.001",="0.001",="2329.294"
="",="(0.10)",="(0.00)",="(0.01)",="(6938.30)"
="year=2004",="-0.004",="0.001",="0.002",="3083.944"
="",="(0.10)",="(0.00)",="(0.01)",="(6941.25)"
="year=2005",="0.506***",="0.001",="0.012",="7685.523"
="",="(0.10)",="(0.00)",="(0.01)",="(6948.41)"
="year=2006",="0.661***",="0.001",="0.007",="7147.197"
="",="(0.10)",="(0.00)",="(0.01)",="(6941.96)"
="year=2007",="0.634***",="0.002",="0.002",="7611.955"
