="",="(1)",="(2)",="(3)"
="",="L.ln_gdpk",="L.divorce_y",="L.divorce_yrt"
="",="b/se",="b/se",="b/se"
="Interpolation of popi_ipo on year",="-0.000***",="0.020***",="-0.000*"
="",="(0.00)",="(0.00)",="(0.00)"
="Interpolation of educ_hs on year",="0.000***",="0.244***",="0.000***"
="",="(0.00)",="(0.01)",="(0.00)"
="con1000",="-0.045***",="6970.722***",="0.009***"
="",="(0.01)",="(972.75)",="(0.00)"
="conhs1000",="0.562***",="-16965.204***",="-0.000"
="",="(0.05)",="(3857.67)",="(0.00)"
="period16=0",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="period16=1",="0.202",="19048.207*",="-0.002"
="",="(0.11)",="(7903.50)",="(0.01)"
="cat_rise16_75=0",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="cat_rise16_75=1",="0.305***",="13710.850***",="0.008**"
="",="(0.04)",="(2865.17)",="(0.00)"
="period16=0 # cat_rise16_75=0",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="period16=0 # cat_rise16_75=1",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="period16=1 # cat_rise16_75=0",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="period16=1 # cat_rise16_75=1",="-0.264**",="9132.136",="-0.005"
="",="(0.08)",="(5932.67)",="(0.01)"
="period11=0",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="period11=1",="0.832***",="25411.176***",="0.016*"
="",="(0.10)",="(7225.35)",="(0.01)"
="cat_rise11_75=0",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="cat_rise11_75=1",="0.020",="6489.866***",="0.005***"
="",="(0.02)",="(1145.79)",="(0.00)"
="period11=0 # cat_rise11_75=0",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="period11=0 # cat_rise11_75=1",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="period11=1 # cat_rise11_75=0",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="period11=1 # cat_rise11_75=1",="-0.065*",="1106.474",="0.002"
="",="(0.03)",="(2120.98)",="(0.00)"
="year=2001",="0.000",="",=""
="",="(.)",="",=""
="year=2002",="-0.378***",="0.000",="0.000"
="",="(0.10)",="(.)",="(.)"
="year=2003",="-0.222*",="2329.814",="0.001"
="",="(0.10)",="(6941.77)",="(0.01)"
="year=2004",="-0.002",="2980.327",="0.002"
="",="(0.10)",="(6944.50)",="(0.01)"
="year=2005",="0.499***",="7500.973",="0.012"
="",="(0.10)",="(6951.94)",="(0.01)"
="year=2006",="0.660***",="6877.245",="0.007"
="",="(0.10)",="(6945.22)",="(0.01)"
="year=2007",="0.642***",="7207.861",="0.002"
="",="(0.10)",="(6964.76)",="(0.01)"
="year=2008",="0.881***",="12654.606",="0.012"
="",="(0.10)",="(6952.07)",="(0.01)"
="year=2009",="0.963***",="15385.841*",="0.018*"
="",="(0.10)",="(6967.26)",="(0.01)"
="year=2010",="0.692***",="18776.528**",="0.021**"
="",="(0.10)",="(7011.79)",="(0.01)"
="year=2011",="0.107",="-5531.467",="0.006"
="",="(0.10)",="(7040.19)",="(0.01)"
="year=2012",="0.092",="-6137.290",="0.002"
="",="(0.10)",="(6978.08)",="(0.01)"
="year=2013",="0.057",="-9062.550",="-0.007"
="",="(0.10)",="(6960.14)",="(0.01)"
="year=2014",="0.093",="-4619.920",="-0.003"
="",="(0.10)",="(6956.86)",="(0.01)"
="year=2015",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2016",="0.480***",="4446.745",="0.018*"
="",="(0.10)",="(7182.80)",="(0.01)"
="year=2017",="0.413***",="-4146.407",="0.006"
="",="(0.10)",="(7113.98)",="(0.01)"
="year=2018",="0.204*",="-7946.707",="-0.006"
="",="(0.10)",="(6984.92)",="(0.01)"
="year=2019",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="dogu",="-0.227**",="3032.721",="-0.022**"
="",="(0.09)",="(6110.60)",="(0.01)"
="ege",="0.184",="14256.872*",="0.012"
