="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="L.ln_gdpk",="L.ln_gdpk",="L.suicide_yrt",="L.suicide_yrt",="L.divorce_yrt",="L.divorce_yrt"
="",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se"
="Interpolation of popi_ipo on year",="-0.000***",="-0.000***",="-0.000",="-0.000*",="-0.000*",="-0.000*"
="",="(0.00)",="(0.00)",="(0.00)",="(0.00)",="(0.00)",="(0.00)"
="Interpolation of educ_hs on year",="0.000***",="0.000***",="0.000",="0.000*",="0.000**",="0.000**"
="",="(0.00)",="(0.00)",="(0.00)",="(0.00)",="(0.00)",="(0.00)"
="conprim_1000",="-0.047***",="-0.038**",="0.000***",="0.000***",="0.010***",="0.010***"
="",="(0.01)",="(0.01)",="(0.00)",="(0.00)",="(0.00)",="(0.00)"
="conhs1000",="0.546***",="0.516***",="0.000",="0.000",="0.016***",="0.009**"
="",="(0.05)",="(0.05)",="(0.00)",="(0.00)",="(0.00)",="(0.00)"
="period16=0",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="period16=1",="0.244*",="0.283*",="0.001",="0.001",="-0.010",="-0.004"
="",="(0.12)",="(0.11)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="cat_cpk16_p75=0",="0.000",="",="0.000",="",="0.000",=""
="",="(.)",="",="(.)",="",="(.)",=""
="cat_cpk16_p75=1",="0.080***",="",="0.000*",="",="-0.000",=""
="",="(0.02)",="",="(0.00)",="",="(0.00)",=""
="period16=0 # cat_cpk16_p75=0",="0.000",="",="0.000",="",="0.000",=""
="",="(.)",="",="(.)",="",="(.)",=""
="period16=0 # cat_cpk16_p75=1",="0.000",="",="0.000",="",="0.000",=""
="",="(.)",="",="(.)",="",="(.)",=""
="period16=1 # cat_cpk16_p75=0",="0.000",="",="0.000",="",="0.000",=""
="",="(.)",="",="(.)",="",="(.)",=""
="period16=1 # cat_cpk16_p75=1",="-0.140***",="",="0.000",="",="-0.005*",=""
="",="(0.04)",="",="(0.00)",="",="(0.00)",=""
="year=2001",="0.000",="0.000",="0.000",="0.000",="",=""
="",="(.)",="(.)",="(.)",="(.)",="",=""
="year=2002",="-0.378***",="-0.375***",="0.001",="0.001",="0.000",="0.000"
="",="(0.10)",="(0.10)",="(0.00)",="(0.00)",="(.)",="(.)"
="year=2003",="-0.221*",="-0.221*",="0.001",="0.001",="0.001",="0.001"
="",="(0.10)",="(0.10)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2004",="-0.003",="-0.002",="0.001",="0.001",="0.002",="0.002"
="",="(0.10)",="(0.10)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2005",="0.501***",="0.504***",="0.001",="0.001",="0.012",="0.012"
="",="(0.10)",="(0.10)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2006",="0.660***",="0.662***",="0.001",="0.001",="0.007",="0.007"
="",="(0.10)",="(0.10)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2007",="0.639***",="0.640***",="0.002*",="0.002",="0.001",="0.002"
="",="(0.10)",="(0.10)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2008",="0.882***",="0.883***",="0.001",="0.001",="0.011",="0.012"
="",="(0.10)",="(0.10)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2009",="0.962***",="0.965***",="0.002",="0.001",="0.017*",="0.018*"
="",="(0.10)",="(0.10)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2010",="0.688***",="0.693***",="0.001",="0.001",="0.019*",="0.021**"
="",="(0.10)",="(0.10)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2011",="0.905***",="0.909***",="0.002",="0.002",="0.021**",="0.023**"
="",="(0.10)",="(0.10)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2012",="0.886***",="0.889***",="0.001",="0.001",="0.015",="0.018*"
="",="(0.10)",="(0.10)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2013",="0.847***",="0.850***",="0.001",="0.001",="0.005",="0.009"
="",="(0.10)",="(0.10)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2014",="0.883***",="0.886***",="0.001",="0.001",="0.008",="0.012"
="",="(0.10)",="(0.10)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2015",="0.787***",="0.794***",="0.001",="0.001",="0.011",="0.016*"
="",="(0.11)",="(0.10)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2016",="0.498***",="0.485***",="-0.000",="-0.000",="0.024**",="0.019*"
