="",="(1)",="(2)",="(3)"
="",="L.ln_gdpk",="L.suicide_yrt",="L.divorce_yrt"
="",="b/se",="b/se",="b/se"
="Interpolation of popi_ipo on year",="-0.000***",="-0.000",="-0.000"
="",="(0.00)",="(0.00)",="(0.00)"
="Interpolation of educ_hs on year",="0.000***",="0.000",="0.000"
="",="(0.00)",="(0.00)",="(0.00)"
="conprim_1000",="-0.047***",="0.000**",="0.009***"
="",="(0.01)",="(0.00)",="(0.00)"
="conhs1000",="0.530***",="0.000",="0.011**"
="",="(0.04)",="(0.00)",="(0.00)"
="period11=0",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="period11=1",="0.842***",="0.001",="0.015*"
="",="(0.10)",="(0.00)",="(0.01)"
="cat_rise11_90=0",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="cat_rise11_90=1",="0.100***",="0.001***",="0.001"
="",="(0.02)",="(0.00)",="(0.00)"
="period11=0 # cat_rise11_90=0",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="period11=0 # cat_rise11_90=1",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="period11=1 # cat_rise11_90=0",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="period11=1 # cat_rise11_90=1",="-0.106**",="-0.000",="0.002"
="",="(0.04)",="(0.00)",="(0.00)"
="period16=0",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="period16=1",="0.207",="0.001",="-0.003"
="",="(0.11)",="(0.00)",="(0.01)"
="cat_rise16_90=0",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="cat_rise16_90=1",="0.142***",="0.000*",="0.014***"
="",="(0.02)",="(0.00)",="(0.00)"
="period16=0 # cat_rise16_90=0",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="period16=0 # cat_rise16_90=1",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="period16=1 # cat_rise16_90=0",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="period16=1 # cat_rise16_90=1",="-0.158***",="-0.001*",="-0.009**"
="",="(0.04)",="(0.00)",="(0.00)"
="year=2001",="0.000",="0.000",=""
="",="(.)",="(.)",=""
="year=2002",="-0.378***",="0.001",="0.000"
="",="(0.10)",="(0.00)",="(.)"
="year=2003",="-0.221*",="0.001",="0.001"
="",="(0.10)",="(0.00)",="(0.01)"
="year=2004",="-0.001",="0.001",="0.002"
="",="(0.10)",="(0.00)",="(0.01)"
="year=2005",="0.500***",="0.001",="0.012"
="",="(0.10)",="(0.00)",="(0.01)"
="year=2006",="0.662***",="0.001",="0.007"
="",="(0.10)",="(0.00)",="(0.01)"
="year=2007",="0.644***",="0.002",="0.002"
="",="(0.10)",="(0.00)",="(0.01)"
="year=2008",="0.884***",="0.001",="0.012"
="",="(0.10)",="(0.00)",="(0.01)"
="year=2009",="0.966***",="0.001",="0.018*"
="",="(0.10)",="(0.00)",="(0.01)"
="year=2010",="0.695***",="0.001",="0.021**"
="",="(0.10)",="(0.00)",="(0.01)"
="year=2011",="0.109",="0.000",="0.007"
="",="(0.10)",="(0.00)",="(0.01)"
="year=2012",="0.093",="0.000",="0.002"
="",="(0.10)",="(0.00)",="(0.01)"
="year=2013",="0.058",="-0.000",="-0.007"
="",="(0.10)",="(0.00)",="(0.01)"
="year=2014",="0.095",="0.000",="-0.003"
="",="(0.10)",="(0.00)",="(0.01)"
="year=2015",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2016",="0.484***",="-0.000",="0.019*"
="",="(0.10)",="(0.00)",="(0.01)"
="year=2017",="0.417***",="0.000",="0.007"
="",="(0.10)",="(0.00)",="(0.01)"
="year=2018",="0.206*",="0.000",="-0.005"
="",="(0.10)",="(0.00)",="(0.01)"
="year=2019",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="dogu",="-0.208*",="0.001",="-0.022**"
="",="(0.09)",="(0.00)",="(0.01)"
="ege",="0.147",="0.000",="0.011"
="",="(0.10)",="(0.00)",="(0.01)"
="guneydogu",="-0.072",="0.000",="-0.021**"
="",="(0.10)",="(0.00)",="(0.01)"
="icanadolu",="0.224*",="0.000",="0.014*"
="",="(0.09)",="(0.00)",="(0.01)"
="karadeniz",="0.073",="-0.000",="-0.007"
="",="(0.08)",="(0.00)",="(0.01)"
="marmara",="0.542***",="0.000",="-0.002"
="",="(0.09)",="(0.00)",="(0.01)"
="year=2001 # akdeniz",="0.000",="0.000",=""
="",="(.)",="(.)",=""
="year=2001 # dogu",="0.000",="0.000",=""
="",="(.)",="(.)",=""
="year=2001 # ege",="0.000",="0.000",=""
="",="(.)",="(.)",=""
="year=2001 # guneydogu",="0.000",="0.000",=""
="",="(.)",="(.)",=""
="year=2001 # icanadolu",="0.000",="0.000",=""
="",="(.)",="(.)",=""
="year=2001 # karadeniz",="0.000",="0.000",=""
="",="(.)",="(.)",=""
="year=2001 # marmara",="0.000",="0.000",=""
="",="(.)",="(.)",=""
="year=2002 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2002 # dogu",="-0.006",="-0.001",="0.000"
="",="(0.12)",="(0.00)",="(.)"
="year=2002 # ege",="0.015",="-0.000",="0.000"
="",="(0.14)",="(0.00)",="(.)"
="year=2002 # guneydogu",="-0.056",="0.000",="0.000"
="",="(0.14)",="(0.00)",="(.)"
="year=2002 # icanadolu",="0.033",="-0.001",="0.000"
="",="(0.13)",="(0.00)",="(.)"
="year=2002 # karadeniz",="0.016",="-0.000",="0.000"
="",="(0.12)",="(0.00)",="(.)"
="year=2002 # marmara",="0.014",="-0.000",="0.000"
="",="(0.13)",="(0.00)",="(.)"
="year=2003 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2003 # dogu",="-0.030",="-0.000",="-0.000"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2003 # ege",="-0.007",="0.001",="0.002"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2003 # guneydogu",="-0.081",="-0.000",="0.001"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2003 # icanadolu",="-0.001",="-0.001",="0.002"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2003 # karadeniz",="-0.007",="-0.001",="0.004"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2003 # marmara",="-0.005",="-0.001",="-0.001"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2004 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2004 # dogu",="0.058",="-0.000",="0.001"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2004 # ege",="0.018",="0.003*",="0.003"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2004 # guneydogu",="-0.005",="0.001",="-0.003"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2004 # icanadolu",="0.055",="-0.000",="-0.004"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2004 # karadeniz",="0.057",="0.000",="0.002"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2004 # marmara",="0.041",="0.000",="-0.004"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2005 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2005 # dogu",="-0.191",="0.000",="-0.008"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2005 # ege",="0.013",="0.001",="0.001"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2005 # guneydogu",="-0.296*",="0.001",="-0.007"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2005 # icanadolu",="-0.195",="-0.000",="-0.003"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2005 # karadeniz",="-0.095",="0.000",="-0.001"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2005 # marmara",="-0.150",="-0.000",="-0.005"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2006 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2006 # dogu",="-0.184",="0.001",="-0.006"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2006 # ege",="-0.006",="0.000",="0.007"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2006 # guneydogu",="-0.279*",="0.001",="-0.003"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2006 # icanadolu",="-0.177",="-0.001",="0.003"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2006 # karadeniz",="-0.095",="0.000",="-0.002"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2006 # marmara",="-0.144",="-0.001",="0.005"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2007 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2007 # dogu",="-0.152",="0.001",="-0.004"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2007 # ege",="0.008",="-0.001",="-0.004"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2007 # guneydogu",="-0.222",="0.001",="-0.002"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2007 # icanadolu",="-0.174",="-0.000",="-0.002"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2007 # karadeniz",="-0.069",="0.000",="-0.002"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2007 # marmara",="-0.142",="-0.001",="-0.003"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2008 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2008 # dogu",="-0.142",="-0.000",="-0.006"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2008 # ege",="0.005",="-0.001",="-0.002"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2008 # guneydogu",="-0.258",="0.002",="-0.006"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2008 # icanadolu",="-0.177",="0.000",="-0.000"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2008 # karadeniz",="-0.072",="0.001",="-0.002"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2008 # marmara",="-0.112",="-0.000",="0.003"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2009 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2009 # dogu",="-0.120",="0.001",="-0.010"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2009 # ege",="0.007",="-0.000",="-0.003"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2009 # guneydogu",="-0.243",="0.002",="-0.009"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2009 # icanadolu",="-0.140",="0.000",="0.002"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2009 # karadeniz",="-0.013",="0.001",="-0.004"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2009 # marmara",="-0.112",="-0.000",="-0.003"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2010 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2010 # dogu",="-0.042",="0.000",="-0.011"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2010 # ege",="-0.030",="0.000",="-0.006"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2010 # guneydogu",="-0.183",="0.002",="-0.011"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2010 # icanadolu",="-0.108",="0.000",="0.003"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2010 # karadeniz",="0.027",="-0.000",="-0.006"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2010 # marmara",="-0.130",="0.000",="-0.003"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2011 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2011 # dogu",="-0.032",="0.002",="-0.008"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2011 # ege",="-0.077",="-0.000",="-0.002"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2011 # guneydogu",="-0.198",="0.001",="-0.011"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2011 # icanadolu",="-0.149",="0.000",="0.005"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2011 # karadeniz",="-0.049",="-0.000",="-0.004"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2011 # marmara",="-0.230",="-0.000",="-0.002"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2012 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2012 # dogu",="-0.025",="0.001",="-0.014"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2012 # ege",="-0.044",="-0.000",="-0.007"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2012 # guneydogu",="-0.185",="0.001",="-0.013"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2012 # icanadolu",="-0.147",="-0.000",="-0.003"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2012 # karadeniz",="-0.034",="-0.001",="-0.010"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2012 # marmara",="-0.187",="-0.001",="-0.001"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2013 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2013 # dogu",="-0.020",="0.001",="-0.012"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2013 # ege",="-0.024",="-0.000",="-0.007"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2013 # guneydogu",="-0.140",="0.001",="-0.006"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2013 # icanadolu",="-0.145",="-0.000",="-0.001"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2013 # karadeniz",="-0.037",="-0.000",="-0.010"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2013 # marmara",="-0.137",="-0.000",="-0.002"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2014 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2014 # dogu",="-0.017",="0.001",="-0.012"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2014 # ege",="-0.007",="-0.001",="-0.007"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2014 # guneydogu",="-0.076",="0.002",="-0.004"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2014 # icanadolu",="-0.132",="0.000",="-0.006"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2014 # karadeniz",="-0.004",="-0.000",="-0.009"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2014 # marmara",="-0.154",="-0.001",="-0.005"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2015 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2015 # dogu",="0.002",="0.001",="-0.014"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2015 # ege",="-0.011",="-0.001",="-0.008"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2015 # guneydogu",="-0.050",="0.002",="-0.007"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2015 # icanadolu",="-0.103",="-0.000",="0.000"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2015 # karadeniz",="0.013",="-0.000",="-0.006"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2015 # marmara",="-0.134",="-0.001",="-0.003"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2016 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2016 # dogu",="0.058",="0.001",="-0.020*"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2016 # ege",="0.014",="0.000",="-0.010"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2016 # guneydogu",="-0.005",="0.002",="-0.009"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2016 # icanadolu",="-0.112",="-0.000",="-0.007"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2016 # karadeniz",="0.058",="0.000",="-0.010"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2016 # marmara",="-0.133",="-0.000",="-0.006"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2017 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2017 # dogu",="0.092",="-0.000",="-0.008"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2017 # ege",="0.023",="-0.001",="-0.005"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2017 # guneydogu",="0.013",="0.001",="-0.009"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2017 # icanadolu",="-0.089",="-0.001",="-0.005"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2017 # karadeniz",="0.042",="-0.001",="-0.006"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2017 # marmara",="-0.124",="-0.001",="-0.000"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2018 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2018 # dogu",="0.195",="-0.000",="-0.005"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2018 # ege",="0.044",="-0.001",="-0.005"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2018 # guneydogu",="0.044",="0.001",="-0.002"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2018 # icanadolu",="-0.026",="-0.001",="-0.001"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2018 # karadeniz",="0.098",="-0.000",="0.002"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2018 # marmara",="-0.128",="-0.001",="0.000"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2019 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2019 # dogu",="0.154",="-0.001",="-0.011"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2019 # ege",="0.002",="-0.001",="-0.011"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2019 # guneydogu",="0.076",="0.001",="-0.005"
="",="(0.14)",="(0.00)",="(0.01)"
="year=2019 # icanadolu",="-0.024",="-0.000",="-0.008"
="",="(0.13)",="(0.00)",="(0.01)"
="year=2019 # karadeniz",="0.057",="-0.001",="-0.005"
="",="(0.12)",="(0.00)",="(0.01)"
="year=2019 # marmara",="-0.059",="-0.001",="0.000"
="",="(0.13)",="(0.00)",="(0.01)"
="constant",="7.830***",="0.001",="0.030***"
="",="(0.07)",="(0.00)",="(0.01)"
="R-sqr",="0.898",="0.279",="0.715"
="dfres",="1398",="1396",="1324"
="BIC",="274.9",="-14382.9",="-7279.2"
="* p<0.05, ** p<0.01, *** p<0.001"
