="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="L.ln_gdpk",="L.crude_divorce_rate100",="L.divorce_yrt",="L.divorce_y",="L.suicide_y",="L.suicide_yrt"
="",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se"
="Interpolation of educ_hs on year",="0.000***",="0.000***",="0.000***",="0.239***",="0.000***",="0.000*"
="",="(0.00)",="(0.00)",="(0.00)",="(0.01)",="(0.00)",="(0.00)"
="Interpolation of popi_ipo on year",="-0.000***",="-0.000***",="-0.000**",="0.022***",="0.000***",="-0.000*"
="",="(0.00)",="(0.00)",="(0.00)",="(0.00)",="(0.00)",="(0.00)"
="con1000",="0.093***",="0.205***",="0.008***",="2813.577**",="3.866***",="0.001***"
="",="(0.01)",="(0.03)",="(0.00)",="(1037.23)",="(0.70)",="(0.00)"
="period11",="0.992***",="-0.675***",="-0.004",="7129.959",="18.175**",="0.002*"
="",="(0.12)",="(0.20)",="(0.01)",="(8434.74)",="(6.14)",="(0.00)"
="period16",="0.726***",="-0.601**",="-0.010",="-10673.978",="5.142",="0.001"
="",="(0.13)",="(0.22)",="(0.01)",="(8949.41)",="(6.51)",="(0.00)"
="cpk_perd11",="-0.005",="0.134***",="0.007***",="4220.618**",="-1.847",="-0.000*"
="",="(0.02)",="(0.04)",="(0.00)",="(1549.24)",="(1.09)",="(0.00)"
="cpk_perd16",="-0.037",="0.023",="0.002",="3980.941**",="-1.089",="-0.000"
="",="(0.02)",="(0.03)",="(0.00)",="(1400.38)",="(0.98)",="(0.00)"
="year=2001",="0.000",="",="",="",="0.000",="0.000"
="",="(.)",="",="",="",="(.)",="(.)"
="year=2002",="-0.332**",="0.000",="0.000",="0.000",="9.489",="0.001"
="",="(0.11)",="(.)",="(.)",="(.)",="(5.22)",="(0.00)"
="year=2003",="-0.195",="-0.028",="0.002",="2894.990",="6.394",="0.001"
="",="(0.11)",="(0.17)",="(0.01)",="(7201.43)",="(5.21)",="(0.00)"
="year=2004",="0.032",="-0.096",="0.003",="3278.184",="6.619",="0.001"
="",="(0.11)",="(0.17)",="(0.01)",="(7209.49)",="(5.21)",="(0.00)"
="year=2005",="0.582***",="0.047",="0.011",="6290.783",="14.213**",="0.001"
="",="(0.11)",="(0.17)",="(0.01)",="(7225.31)",="(5.25)",="(0.00)"
="year=2006",="0.733***",="-0.100",="0.007",="5959.017",="12.663*",="0.001"
="",="(0.11)",="(0.17)",="(0.01)",="(7201.87)",="(5.22)",="(0.00)"
="year=2007",="0.706***",="-0.325",="0.003",="6585.886",="13.065*",="0.002"
="",="(0.11)",="(0.18)",="(0.01)",="(7243.44)",="(5.22)",="(0.00)"
="year=2008",="0.961***",="-0.181",="0.012",="11529.200",="12.150*",="0.001"
="",="(0.11)",="(0.17)",="(0.01)",="(7206.73)",="(5.22)",="(0.00)"
="year=2009",="1.073***",="-0.126",="0.018*",="13339.026",="12.484*",="0.001"
="",="(0.11)",="(0.17)",="(0.01)",="(7211.63)",="(5.22)",="(0.00)"
="year=2010",="0.849***",="-0.006",="0.022**",="15270.366*",="10.531*",="0.001"
="",="(0.11)",="(0.17)",="(0.01)",="(7227.77)",="(5.22)",="(0.00)"
="year=2011",="0.072",="0.508**",="0.015",="2620.480",="1.384",="0.000"
="",="(0.11)",="(0.18)",="(0.01)",="(7475.66)",="(5.41)",="(0.00)"
="year=2012",="0.035",="0.248",="0.006",="-1021.099",="-3.427",="-0.000"
="",="(0.11)",="(0.18)",="(0.01)",="(7263.07)",="(5.26)",="(0.00)"
="year=2013",="-0.021",="-0.050",="-0.008",="-6981.554",="-3.748",="-0.000"
="",="(0.11)",="(0.17)",="(0.01)",="(7199.19)",="(5.21)",="(0.00)"
="year=2014",="0.021",="-0.057",="-0.004",="-2854.023",="-3.812",="0.000"
="",="(0.11)",="(0.17)",="(0.01)",="(7199.46)",="(5.21)",="(0.00)"
="year=2015",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2016",="0.238*",="0.274",="0.020*",="16396.127*",="3.279",="0.000"
="",="(0.11)",="(0.18)",="(0.01)",="(7356.98)",="(5.32)",="(0.00)"
="year=2017",="0.197",="0.038",="0.007",="5415.316",="6.169",="0.001"
="",="(0.11)",="(0.18)",="(0.01)",="(7267.99)",="(5.26)",="(0.00)"
="year=2018",="0.088",="-0.212",="-0.005",="-3876.164",="1.472",="0.000"
="",="(0.11)",="(0.17)",="(0.01)",="(7201.02)",="(5.21)",="(0.00)"
="year=2019",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="dogu",="-0.202*",="-0.807***",="-0.025***",="-2428.280",="11.760*",="0.001"
="",="(0.09)",="(0.15)",="(0.01)",="(6328.07)",="(4.60)",="(0.00)"
="ege",="0.068",="0.381*",="0.014",="16649.086*",="7.417",="0.000"
="",="(0.11)",="(0.17)",="(0.01)",="(7230.08)",="(5.23)",="(0.00)"
="guneydogu",="-0.036",="-0.717***",="-0.023**",="-6857.055",="5.541",="-0.000"
="",="(0.11)",="(0.18)",="(0.01)",="(7242.99)",="(5.26)",="(0.00)"
="icanadolu",="0.176",="0.264",="0.010",="5342.702",="1.158",="-0.000"
="",="(0.10)",="(0.16)",="(0.01)",="(6479.59)",="(4.69)",="(0.00)"
="karadeniz",="0.036",="-0.275",="-0.011",="2234.682",="2.492",="-0.000"
="",="(0.09)",="(0.15)",="(0.01)",="(6125.48)",="(4.44)",="(0.00)"
="marmara",="0.449***",="-0.245",="-0.004",="-7631.474",="-6.800",="-0.000"
="",="(0.10)",="(0.16)",="(0.01)",="(6706.23)",="(4.85)",="(0.00)"
="year=2001 # akdeniz",="0.000",="",="",="",="0.000",="0.000"
="",="(.)",="",="",="",="(.)",="(.)"
="year=2001 # dogu",="0.000",="",="",="",="0.000",="0.000"
="",="(.)",="",="",="",="(.)",="(.)"
="year=2001 # ege",="0.000",="",="",="",="0.000",="0.000"
="",="(.)",="",="",="",="(.)",="(.)"
="year=2001 # guneydogu",="0.000",="",="",="",="0.000",="0.000"
="",="(.)",="",="",="",="(.)",="(.)"
="year=2001 # icanadolu",="0.000",="",="",="",="0.000",="0.000"
="",="(.)",="",="",="",="(.)",="(.)"
="year=2001 # karadeniz",="0.000",="",="",="",="0.000",="0.000"
="",="(.)",="",="",="",="(.)",="(.)"
="year=2001 # marmara",="0.000",="",="",="",="0.000",="0.000"
="",="(.)",="",="",="",="(.)",="(.)"
="year=2002 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2002 # dogu",="-0.032",="0.000",="0.000",="0.000",="-9.855",="-0.001"
="",="(0.13)",="(.)",="(.)",="(.)",="(6.45)",="(0.00)"
="year=2002 # ege",="0.017",="0.000",="0.000",="0.000",="5.959",="-0.000"
="",="(0.15)",="(.)",="(.)",="(.)",="(7.37)",="(0.00)"
="year=2002 # guneydogu",="-0.078",="0.000",="0.000",="0.000",="-1.434",="0.000"
="",="(0.15)",="(.)",="(.)",="(.)",="(7.37)",="(0.00)"
="year=2002 # icanadolu",="0.011",="0.000",="0.000",="0.000",="-0.773",="-0.001"
="",="(0.13)",="(.)",="(.)",="(.)",="(6.62)",="(0.00)"
="year=2002 # karadeniz",="-0.025",="0.000",="0.000",="0.000",="-5.348",="-0.000"
="",="(0.13)",="(.)",="(.)",="(.)",="(6.27)",="(0.00)"
="year=2002 # marmara",="0.007",="0.000",="0.000",="0.000",="9.657",="-0.000"
="",="(0.14)",="(.)",="(.)",="(.)",="(6.85)",="(0.00)"
="year=2003 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2003 # dogu",="-0.044",="0.018",="-0.000",="-2107.033",="-6.069",="-0.000"
