="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="L.ln_gdpk",="L.crude_divorce_rate100",="L.divorce_yrt",="L.divorce_y",="L.crude_suicide_rate1000",="L.suicide_yrt",="L.suicide_y"
="",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se"
="Interpolation of popi_ipo on year",="-0.000***",="-0.000***",="-0.000*",="0.019***",="-0.000***",="-0.000",="0.000***"
="",="(0.00)",="(0.00)",="(0.00)",="(0.00)",="(0.00)",="(0.00)",="(0.00)"
="Interpolation of educ_hs on year",="0.000***",="0.000***",="0.000***",="0.252***",="0.000***",="0.000",="0.000***"
="",="(0.00)",="(0.00)",="(0.00)",="(0.01)",="(0.00)",="(0.00)",="(0.00)"
="conprim_1000",="-0.051***",="0.193***",="0.010***",="8954.004***",="0.325*",="0.000**",="3.373***"
="",="(0.01)",="(0.02)",="(0.00)",="(1009.59)",="(0.14)",="(0.00)",="(0.71)"
="conhs1000",="0.839***",="0.303*",="0.002",="-32896.780***",="3.333***",="0.002**",="8.046*"
="",="(0.08)",="(0.14)",="(0.01)",="(5638.49)",="(0.77)",="(0.00)",="(4.01)"
="period11",="0.783***",="-0.727***",="-0.002",="7978.269",="-1.212",="0.002*",="18.037**"
="",="(0.12)",="(0.20)",="(0.01)",="(8311.08)",="(1.13)",="(0.00)",="(6.10)"
="period16",="0.424**",="-0.699**",="-0.008",="-10395.336",="-2.243",="0.001",="10.026"
="",="(0.13)",="(0.22)",="(0.01)",="(9110.53)",="(1.24)",="(0.00)",="(6.68)"
="cpk_hsp_perd11",="-0.226*",="0.508**",="0.025***",="34648.970***",="-1.442",="-0.002**",="-9.687*"
="",="(0.09)",="(0.16)",="(0.01)",="(6640.84)",="(0.90)",="(0.00)",="(4.79)"
="cpk_hsp_perd16",="-0.424***",="0.063",="0.009",="35336.495***",="-2.183**",="-0.001*",="-9.387*"
="",="(0.08)",="(0.15)",="(0.01)",="(5934.64)",="(0.81)",="(0.00)",="(4.26)"
="year=2001",="0.000",="",="",="",="",="0.000",="0.000"
="",="(.)",="",="",="",="",="(.)",="(.)"
="year=2002",="-0.379***",="0.000",="0.000",="0.000",="0.000",="0.001",="9.322"
="",="(0.10)",="(.)",="(.)",="(.)",="(.)",="(0.00)",="(5.21)"
="year=2003",="-0.227*",="-0.027",="0.001",="2318.355",="-0.723",="0.001",="6.246"
="",="(0.10)",="(0.17)",="(0.01)",="(7103.69)",="(0.97)",="(0.00)",="(5.21)"
="year=2004",="-0.026",="-0.099",="0.003",="4104.408",="-0.796",="0.001",="6.272"
="",="(0.10)",="(0.17)",="(0.01)",="(7112.30)",="(0.97)",="(0.00)",="(5.21)"
="year=2005",="0.516***",="0.050",="0.012",="6930.904",="-0.312",="0.001",="14.062**"
="",="(0.10)",="(0.17)",="(0.01)",="(7117.35)",="(0.97)",="(0.00)",="(5.23)"
="year=2006",="0.645***",="-0.102",="0.007",="7978.680",="-0.620",="0.001",="12.252*"
="",="(0.10)",="(0.17)",="(0.01)",="(7109.93)",="(0.97)",="(0.00)",="(5.22)"
="year=2007",="0.573***",="-0.337",="0.004",="11223.226",="-0.805",="0.001",="12.198*"
="",="(0.10)",="(0.18)",="(0.01)",="(7186.30)",="(0.98)",="(0.00)",="(5.27)"
="year=2008",="0.846***",="-0.187",="0.012",="14974.544*",="-0.783",="0.001",="11.522*"
="",="(0.10)",="(0.17)",="(0.01)",="(7130.16)",="(0.97)",="(0.00)",="(5.24)"
="year=2009",="0.902***",="-0.139",="0.020*",="19513.544**",="-1.139",="0.001",="11.526*"
