year,region_code,province,educ_total_hs,educ_total_col,educ_pct_hs,educ_pct_col
2008,TRA11,Erzurum,94242,25995,19.52,5.38
2009,TRA11,Erzurum,96646,35088,19.37,7.03
2010,TRA11,Erzurum,102735,35271,20.45,7.02
2011,TRA11,Erzurum,110014,46010,21.01,8.79
2012,TRA11,Erzurum,112465,48213,21.2,9.09
2013,TRA11,Erzurum,108412,54376,20.58,10.32
2014,TRA11,Erzurum,108719,58881,20.31,11
2015,TRA11,Erzurum,116749,63969,21.4,11.73
2016,TRA11,Erzurum,124268,68729,22.6,12.5
2017,TRA11,Erzurum,125743,69539,22.77,12.59
2018,TRA11,Erzurum,133003,73482,23.7,13.09
2019,TRA11,Erzurum,137858,74442,24.66,13.31
2008,TRA12,Erzincan,31746,8776,21.51,5.95
2009,TRA12,Erzincan,34541,11864,22.34,7.67
2010,TRA12,Erzincan,41135,12705,24.61,7.6
2011,TRA12,Erzincan,38832,14869,24.05,9.21
2012,TRA12,Erzincan,40940,16516,24.8,10.01
2013,TRA12,Erzincan,40580,20551,24.21,12.26
2014,TRA12,Erzincan,41422,23443,23.89,13.52
2015,TRA12,Erzincan,42290,25623,24.13,14.62
2016,TRA12,Erzincan,44808,26608,25.39,15.08
2017,TRA12,Erzincan,47755,28113,26.33,15.5
2018,TRA12,Erzincan,49957,29675,26.86,15.96
2019,TRA12,Erzincan,52370,30275,28.4,16.42
2008,TRA13,Bayburt,9024,2336,17.74,4.59
2009,TRA13,Bayburt,9405,3060,18.1,5.89
2010,TRA13,Bayburt,10602,3233,20.12,6.14
2011,TRA13,Bayburt,12180,4257,21.63,7.56
2012,TRA13,Bayburt,12338,4538,21.94,8.07
2013,TRA13,Bayburt,12315,5553,21.89,9.87
2014,TRA13,Bayburt,12962,6515,21.31,10.71
2015,TRA13,Bayburt,13125,7202,21.91,12.02
2016,TRA13,Bayburt,18484,7992,26.4,11.42
2017,TRA13,Bayburt,17540,7559,27.94,12.04
2018,TRA13,Bayburt,17311,7914,27.04,12.36
2019,TRA13,Bayburt,19790,8986,29.63,13.45
