year,province,educ_hs,educ_col
2000,Adana,303741,76882
2008,Adana,300221,93801
2009,Adana,312393,115455
2010,Adana,340733,121707
2011,Adana,354770,144333
2012,Adana,356011,154990
2013,Adana,353256,175254
2014,Adana,362857,191858
2015,Adana,366471,214943
2016,Adana,391199,228824
2017,Adana,390352,236103
2018,Adana,410691,245469
2019,Adana,424630,256117
2014,Adiyaman,78329,41101
2015,Adiyaman,80891,46536
2016,Adiyaman,87766,52147
2017,Adiyaman,86352,54102
2018,Adiyaman,94520,57219
2019,Adiyaman,103703,60154
2000,Adıyaman,59897,14435
2008,Adıyaman,62867,13952
2009,Adıyaman,65335,18705
2010,Adıyaman,71552,19643
2011,Adıyaman,76331,25339
2012,Adıyaman,77625,29650
2013,Adıyaman,77191,36082
2000,Afyonkarahisar,106491,24494
2008,Afyonkarahisar,82334,23466
2009,Afyonkarahisar,83842,30655
2010,Afyonkarahisar,89367,31159
2011,Afyonkarahisar,92711,37334
2012,Afyonkarahisar,100308,39743
2013,Afyonkarahisar,97988,45137
2014,Afyonkarahisar,99609,49439
2015,Afyonkarahisar,103121,54580
2016,Afyonkarahisar,111319,59222
2017,Afyonkarahisar,109781,60304
2018,Afyonkarahisar,118642,63534
2019,Afyonkarahisar,121874,66267
2014,Agri,40830,21569
2015,Agri,41860,25026
2016,Agri,43746,26473
2017,Agri,44387,26991
2018,Agri,49207,29596
2019,Agri,58552,31268
2000,Ağrı,36860,7324
2008,Ağrı,27576,5404
2009,Ağrı,30167,8168
2010,Ağrı,33900,9123
2011,Ağrı,40506,14373
2012,Ağrı,39175,15624
2013,Ağrı,39296,18341
2000,Aksaray,13580,10343
2008,Aksaray,35194,11064
2009,Aksaray,37090,13627
2010,Aksaray,40194,14417
2011,Aksaray,43646,17531
2012,Aksaray,44999,18939
2013,Aksaray,44869,21506
2014,Aksaray,46236,23636
2015,Aksaray,47879,26269
2016,Aksaray,54377,29145
2017,Aksaray,55145,30420
2018,Aksaray,59660,32699
2019,Aksaray,61902,34773
2000,Amasya,58425,13375
2008,Amasya,42760,14956
2009,Amasya,44969,18514
2010,Amasya,52277,19673
2011,Amasya,50292,22220
2012,Amasya,51401,23851
2013,Amasya,49837,27502
2014,Amasya,51602,29957
2015,Amasya,53690,32387
2016,Amasya,58115,35347
2017,Amasya,58356,36618
2018,Amasya,63546,40111
2019,Amasya,64889,42010
2000,Ankara,1148568,403452
2008,Ankara,930776,442315
2009,Ankara,940506,525631
2010,Ankara,1012785,544683
2011,Ankara,1037181,636030
2012,Ankara,1053645,666275
2013,Ankara,1046749,721875
2014,Ankara,1082496,788113
2015,Ankara,1098877,873359
2016,Ankara,1143608,916477
2017,Ankara,1163626,940790
2018,Ankara,1209863,974756
2019,Ankara,1240303,1022142
2000,Antalya,372465,125323
2008,Antalya,273733,113052
2009,Antalya,294037,133408
2010,Antalya,325031,147047
2011,Antalya,344168,175413
2012,Antalya,352424,189360
2013,Antalya,360848,212628
2014,Antalya,385121,240804
2015,Antalya,408496,272664
2016,Antalya,428276,290689
2017,Antalya,444473,303115
2018,Antalya,471787,321905
2019,Antalya,495582,341291
2000,Ardahan,15397,3047
2008,Ardahan,11990,2592
2009,Ardahan,11287,3184
2010,Ardahan,12105,3253
2011,Ardahan,13551,4837
2012,Ardahan,13249,5507
2013,Ardahan,12826,6092
2014,Ardahan,13273,6686
2015,Ardahan,13663,7345
2016,Ardahan,14539,7879
2017,Ardahan,14692,7723
2018,Ardahan,15977,8450
2019,Ardahan,16340,8885
2000,Artvin,32634,7505
2008,Artvin,27549,7024
