year,region_code,province,registered_voters_loc,registered_voters_gen,registered_voters_ref,participation_rate,participation_rate15,participation_rate_loc,participation_ref,akp_gen,akp_15,chp_gen,chp_15,mhp_gen,mhp_15,hdp_gen,hdp_15,loc_mayors,mhp_loc,akp_loc,chp_loc,ref_yes,ref_no,crude_divorce_rate100,divorce_byd_1_10,divorce_byd_11_15,divorce_byd_16,divorce_byd_below1,divorce_byd_1,divorce_byd_2,crude_suicide_rate1000,suicides_male_total,suicides_female_total,suicides_male_below15,suicides_male_15,suicides_male_25,suicides_male_35,suicides_male_45,suicides_male_55,suicides_male_65,suicides_male_75,suicides_female_below15,suicides_female_15,suicides_female_25,suicides_female_35,suicides_female_45,suicides_female_55,suicides_female_65,suicides_female_75
2000,TR100,Istanbul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,69,3,39,44,35,28,14,11,1,0,25,15,12,8,4,4,1
2001,TR100,Istanbul,,,,,,,,,,,,,,,,,,,,,,1.67,4070,2806,4233,807,1763,1406,4.09,322,136,3,71,94,66,40,27,13,8,6,48,30,18,11,7,12,4
2002,TR100,Istanbul,,7159151,,75.7,,,,43,,27,,,,,,,,,,,,1.73,4201,2937,4589,758,1952,1586,2.76,210,105,2,36,52,45,35,21,12,7,3,45,23,13,9,6,4,2
2003,TR100,Istanbul,,,,,,,,,,,,,,,,,,,,,,1.57,3933,2576,4237,612,1691,1599,2.72,204,111,2,48,55,42,27,11,11,8,1,37,39,13,8,5,3,5
2004,TR100,Istanbul,7238023,,,,,68.6,,,,,,,,,,73,0,47,8,,,1.6,4068,2649,4413,435,1698,1656,3.22,269,111,0,51,64,52,33,20,11,13,0,39,19,18,6,10,3,2
2005,TR100,Istanbul,,,,,,,,,,,,,,,,,,,,,,1.76,4490,3002,5087,576,1687,1769,2.78,254,80,1,56,50,43,37,20,10,10,2,18,20,9,11,7,3,4
2006,TR100,Istanbul,,,,,,,,,,,,,,,,,,,,,,1.69,4516,3061,4964,546,1709,1645,2.96,254,108,2,44,67,46,42,21,4,5,2,32,24,8,9,9,6,5
2007,TR100,Istanbul,,7406297,7428443,82,,,58.7,39,,22,,7,,,,,,,,66.7,33.3,1.63,4750,2931,4741,509,1761,1543,3.15,282,110,1,50,85,54,31,16,11,10,4,35,29,14,13,3,6,3
2008,TR100,Istanbul,,,,,,,,,,,,,,,,,,,,,,1.64,4629,3037,5041,476,1830,1574,2.93,277,93,2,41,65,72,42,13,15,9,3,27,20,12,7,4,5,5
2009,TR100,Istanbul,8709274,,,,,81.6,,,,,,,,,,39,0,26,12,,,1.91,5375,3727,6302,430,2015,1895,3.15,315,88,5,40,77,65,55,33,17,19,1,17,23,12,14,7,7,5
