year,province,district,province_district,year_province_district,population
2000,adana,aladag,adana_aladag,2000_adana_aladag,23579
2000,adana,ceyhan,adana_ceyhan,2000_adana_ceyhan,178543
2000,adana,feke,adana_feke,2000_adana_feke,20890
2000,adana,imamoglu,adana_imamoglu,2000_adana_imamoglu,43361
2000,adana,karaisali,adana_karaisali,2000_adana_karaisali,35122
2000,adana,karatas,adana_karatas,2000_adana_karatas,32375
2000,adana,kozan,adana_kozan,2000_adana_kozan,130875
2000,adana,pozanti,adana_pozanti,2000_adana_pozanti,21756
2000,adana,saimbeyli,adana_saimbeyli,2000_adana_saimbeyli,17149
2000,adana,seyhan,adana_seyhan,2000_adana_seyhan,849283
2000,adana,tufanbeyli,adana_tufanbeyli,2000_adana_tufanbeyli,20171
2000,adana,yumurtalik,adana_yumurtalik,2000_adana_yumurtalik,22575
2000,adana,yuregir,adana_yuregir,2000_adana_yuregir,453799
2000,adiyaman,besni,adiyaman_besni,2000_adiyaman_besni,108667
2000,adiyaman,celikhan,adiyaman_celikhan,2000_adiyaman_celikhan,20271
2000,adiyaman,gerger,adiyaman_gerger,2000_adiyaman_gerger,27208
2000,adiyaman,golbasi,adiyaman_golbasi,2000_adiyaman_golbasi,52988
2000,adiyaman,kahta,adiyaman_kahta,2000_adiyaman_kahta,114994
2000,adiyaman,merkez,adiyaman_merkez,2000_adiyaman_merkez,249530
2000,adiyaman,samsat,adiyaman_samsat,2000_adiyaman_samsat,12541
2000,adiyaman,sincik,adiyaman_sincik,2000_adiyaman_sincik,21828
2000,adiyaman,tut,adiyaman_tut,2000_adiyaman_tut,15784
2000,afyonkarahisar,basmakci,afyonkarahisar_basmakci,2000_afyonkarahisar_basmakci,15084
2000,afyonkarahisar,bayat,afyonkarahisar_bayat,2000_afyonkarahisar_bayat,8753
2000,afyonkarahisar,bolvadin,afyonkarahisar_bolvadin,2000_afyonkarahisar_bolvadin,79888
2000,afyonkarahisar,cay,afyonkarahisar_cay,2000_afyonkarahisar_cay,45635
2000,afyonkarahisar,cobanlar,afyonkarahisar_cobanlar,2000_afyonkarahisar_cobanlar,12364
2000,afyonkarahisar,dazkiri,afyonkarahisar_dazkiri,2000_afyonkarahisar_dazkiri,15620
2000,afyonkarahisar,dinar,afyonkarahisar_dinar,2000_afyonkarahisar_dinar,88304
2000,afyonkarahisar,emirdag,afyonkarahisar_emirdag,2000_afyonkarahisar_emirdag,47396
2000,afyonkarahisar,evciler,afyonkarahisar_evciler,2000_afyonkarahisar_evciler,9486
2000,afyonkarahisar,hocalar,afyonkarahisar_hocalar,2000_afyonkarahisar_hocalar,12824
2000,afyonkarahisar,ihsaniye,afyonkarahisar_ihsaniye,2000_afyonkarahisar_ihsaniye,33220
2000,afyonkarahisar,iscehisar,afyonkarahisar_iscehisar,2000_afyonkarahisar_iscehisar,21978
2000,afyonkarahisar,kiziloren,afyonkarahisar_kiziloren,2000_afyonkarahisar_kiziloren,4132
2000,afyonkarahisar,merkez,afyonkarahisar_merkez,2000_afyonkarahisar_merkez,201110
2000,afyonkarahisar,sandikli,afyonkarahisar_sandikli,2000_afyonkarahisar_sandikli,76618
2000,afyonkarahisar,sincanli,afyonkarahisar_sincanli,2000_afyonkarahisar_sincanli,58536
2000,afyonkarahisar,suhut,afyonkarahisar_suhut,2000_afyonkarahisar_suhut,59284
2000,afyonkarahisar,sultandagi,afyonkarahisar_sultandagi,2000_afyonkarahisar_sultandagi,22184
2000,agri,diyadin,agri_diyadin,2000_agri_diyadin,40768
2000,agri,dogubeyazit,agri_dogubeyazit,2000_agri_dogubeyazit,105754
2000,agri,eleskirt,agri_eleskirt,2000_agri_eleskirt,48892
2000,agri,hamur,agri_hamur,2000_agri_hamur,22052
2000,agri,merkez,agri_merkez,2000_agri_merkez,119743
2000,agri,patnos,agri_patnos,2000_agri_patnos,135100
2000,agri,taslicay,agri_taslicay,2000_agri_taslicay,21839
2000,agri,tutak,agri_tutak,2000_agri_tutak,34596
2000,aksaray,agacoren,aksaray_agacoren,2000_aksaray_agacoren,15869
2000,aksaray,eskil,aksaray_eskil,2000_aksaray_eskil,28952
2000,aksaray,gulagac,aksaray_gulagac,2000_aksaray_gulagac,26874
2000,aksaray,guzelyurt,aksaray_guzelyurt,2000_aksaray_guzelyurt,16836
2000,aksaray,merkez,aksaray_merkez,2000_aksaray_merkez,236560
2000,aksaray,ortakoy,aksaray_ortakoy,2000_aksaray_ortakoy,58873
2000,aksaray,sariyahsi,aksaray_sariyahsi,2000_aksaray_sariyahsi,12120
2000,amasya,goynucek,amasya_goynucek,2000_amasya_goynucek,17614
2000,amasya,gumushacikoy,amasya_gumushacikoy,2000_amasya_gumushacikoy,29795
2000,amasya,hamamozu,amasya_hamamozu,2000_amasya_hamamozu,6161
2000,amasya,merkez,amasya_merkez,2000_amasya_merkez,133207
2000,amasya,merzifon,amasya_merzifon,2000_amasya_merzifon,67281
2000,amasya,suluova,amasya_suluova,2000_amasya_suluova,54123
2000,amasya,tasova,amasya_tasova,2000_amasya_tasova,57050
2000,ankara,akyurt,ankara_akyurt,2000_ankara_akyurt,18907
2000,ankara,altindag,ankara_altindag,2000_ankara_altindag,407101
2000,ankara,ayas,ankara_ayas,2000_ankara_ayas,21239
2000,ankara,bala,ankara_bala,2000_ankara_bala,39714
2000,ankara,beypazari,ankara_beypazari,2000_ankara_beypazari,51841
2000,ankara,camlidere,ankara_camlidere,2000_ankara_camlidere,15339
2000,ankara,cankaya,ankara_cankaya,2000_ankara_cankaya,769331
2000,ankara,cubuk,ankara_cubuk,2000_ankara_cubuk,75119
2000,ankara,elmadag,ankara_elmadag,2000_ankara_elmadag,43374
2000,ankara,etimesgut,ankara_etimesgut,2000_ankara_etimesgut,171293
2000,ankara,evren,ankara_evren,2000_ankara_evren,6167
2000,ankara,golbasi,ankara_golbasi,2000_ankara_golbasi,62602
2000,ankara,gudul,ankara_gudul,2000_ankara_gudul,20938
2000,ankara,haymana,ankara_haymana,2000_ankara_haymana,54087
2000,ankara,kalecik,ankara_kalecik,2000_ankara_kalecik,24738
2000,ankara,kazan,ankara_kazan,2000_ankara_kazan,29692
2000,ankara,kecioren,ankara_kecioren,2000_ankara_kecioren,672817
2000,ankara,kizilcahamam,ankara_kizilcahamam,2000_ankara_kizilcahamam,33623
2000,ankara,mamak,ankara_mamak,2000_ankara_mamak,430606
2000,ankara,nallihan,ankara_nallihan,2000_ankara_nallihan,40677
2000,ankara,polatli,ankara_polatli,2000_ankara_polatli,116400
2000,ankara,sincan,ankara_sincan,2000_ankara_sincan,289783
2000,ankara,skochisar,ankara_skochisar,2000_ankara_skochisar,59128
2000,ankara,yenimahalle,ankara_yenimahalle,2000_ankara_yenimahalle,553344
2000,antalya,akseki,antalya_akseki,2000_antalya_akseki,42467
2000,antalya,alanya,antalya_alanya,2000_antalya_alanya,257671
2000,antalya,elmali,antalya_elmali,2000_antalya_elmali,40041
2000,antalya,finike,antalya_finike,2000_antalya_finike,42087
2000,antalya,gazipasa,antalya_gazipasa,2000_antalya_gazipasa,44541
2000,antalya,gundogmus,antalya_gundogmus,2000_antalya_gundogmus,21513
2000,antalya,ibradi,antalya_ibradi,2000_antalya_ibradi,10826
2000,antalya,kale,antalya_kale,2000_antalya_kale,22170
2000,antalya,kas,antalya_kas,2000_antalya_kas,47519
2000,antalya,kemer,antalya_kemer,2000_antalya_kemer,55092
2000,antalya,korkuteli,antalya_korkuteli,2000_antalya_korkuteli,51580
2000,antalya,kumluca,antalya_kumluca,2000_antalya_kumluca,61370
2000,antalya,manavgat,antalya_manavgat,2000_antalya_manavgat,199385
2000,antalya,merkez,antalya_merkez,2000_antalya_merkez,714129
2000,antalya,serik,antalya_serik,2000_antalya_serik,109360
2000,ardahan,cildir,ardahan_cildir,2000_ardahan_cildir,14869
2000,ardahan,damal,ardahan_damal,2000_ardahan_damal,8677
2000,ardahan,gole,ardahan_gole,2000_ardahan_gole,37814
2000,ardahan,hanak,ardahan_hanak,2000_ardahan_hanak,14873
2000,ardahan,merkez,ardahan_merkez,2000_ardahan_merkez,44794
2000,ardahan,posof,ardahan_posof,2000_ardahan_posof,12729
2000,artvin,ardanuc,artvin_ardanuc,2000_artvin_ardanuc,14477
2000,artvin,arhavi,artvin_arhavi,2000_artvin_arhavi,19347
2000,artvin,borcka,artvin_borcka,2000_artvin_borcka,27654
2000,artvin,hopa,artvin_hopa,2000_artvin_hopa,32584
2000,artvin,merkez,artvin_merkez,2000_artvin_merkez,34572
2000,artvin,murgul,artvin_murgul,2000_artvin_murgul,8543
2000,artvin,savsat,artvin_savsat,2000_artvin_savsat,25624
2000,artvin,yusufeli,artvin_yusufeli,2000_artvin_yusufeli,29133
2000,aydin,bozdogan,aydin_bozdogan,2000_aydin_bozdogan,35190
2000,aydin,buharkent,aydin_buharkent,2000_aydin_buharkent,12984
2000,aydin,cine,aydin_cine,2000_aydin_cine,53770
2000,aydin,didim,aydin_didim,2000_aydin_didim,37395
2000,aydin,germencik,aydin_germencik,2000_aydin_germencik,45821
2000,aydin,incirliova,aydin_incirliova,2000_aydin_incirliova,40733
2000,aydin,karacasu,aydin_karacasu,2000_aydin_karacasu,21980
2000,aydin,karpuzlu,aydin_karpuzlu,2000_aydin_karpuzlu,13207
2000,aydin,kocarli,aydin_kocarli,2000_aydin_kocarli,37167
2000,aydin,kosk,aydin_kosk,2000_aydin_kosk,25321
2000,aydin,kusadasi,aydin_kusadasi,2000_aydin_kusadasi,65765
2000,aydin,kuyucak,aydin_kuyucak,2000_aydin_kuyucak,31094
2000,aydin,merkez,aydin_merkez,2000_aydin_merkez,208341
2000,aydin,nazilli,aydin_nazilli,2000_aydin_nazilli,145963
2000,aydin,soke,aydin_soke,2000_aydin_soke,137739
2000,aydin,sultanhisar,aydin_sultanhisar,2000_aydin_sultanhisar,22795
2000,aydin,yenipazar,aydin_yenipazar,2000_aydin_yenipazar,15492
2000,balikesir,ayvalik,balikesir_ayvalik,2000_balikesir_ayvalik,58738
2000,balikesir,balya,balikesir_balya,2000_balikesir_balya,18869
2000,balikesir,bandirma,balikesir_bandirma,2000_balikesir_bandirma,120753
2000,balikesir,bigadic,balikesir_bigadic,2000_balikesir_bigadic,49957
2000,balikesir,burhaniye,balikesir_burhaniye,2000_balikesir_burhaniye,43199
2000,balikesir,dursunbey,balikesir_dursunbey,2000_balikesir_dursunbey,47429
