year,province,region,popi,gdpk,educ_hsch,educ_coll,prisons_total,prisons_closed,prisons_open,prisons_semiopen,prisons_juvenile,cr_educ_total,cr_educ_illiterate,cr_educ_litnoschool,cr_educ_primaryfour,cr_educ_primaryeight,cr_educ_juniorhs,cr_educ_hs,cr_educ_uni,cr_educ_unknown,cd_type_total,cr_type_total,cd_type_homicide,cr_type_homicide,cd_type_assault,cr_type_assault,cd_type_sexual,cr_type_sexual,cd_type_kidnapping,cr_type_kidnapping,cd_type_defamation,cr_type_defamation,cd_type_theft,cr_type_theft,cd_type_robbery,cr_type_robbery,cd_type_swindling,cr_type_swindling,cd_type_drugspc,cr_type_drugspc,cd_type_drugsuse,cr_type_drugsuse,cd_type_forgery,cr_type_forgery,cd_type_badtreatment,cr_type_badtreatment,cd_type_embezzlement,cr_type_embezzlement,cd_type_bribery,cr_type_bribery,cd_type_smuggling,cr_type_smuggling,cd_type_traffic,cr_type_traffic,cd_type_forestry,cr_type_forestry,cd_type_arms,cr_type_arms,cd_type_bankruptcy,cr_type_bankruptcy,cd_type_military,cr_type_military,cd_type_cheque,cr_type_cheque,cd_type_threat,cr_type_threat,cd_type_propertydamage,cr_type_propertydamage,cd_type_performanceprevention,cr_type_performanceprevention,cd_type_familyprotection,cr_type_familyprotection,cd_type_other,cr_type_other,cd_type_unknown,cr_type_unknown,loc_mayors,crude_divorce_rate100,divorce_byd_1_10,divorce_byd_11_15,divorce_byd_16,divorce_byd_below1,divorce_byd_1,divorce_byd_2,crude_suicide_rate1000,suicides_male_total,suicides_female_total,suicides_male_below15,suicides_male_15,suicides_male_25,suicides_male_35,suicides_male_45,suicides_male_55,suicides_male_65,suicides_male_75,suicides_female_below15,suicides_female_15,suicides_female_25,suicides_female_35,suicides_female_45,suicides_female_55,suicides_female_65,suicides_female_75,vs_akp,vs_chp,vs_mhp,vs_hdp,ms_akp,ms_chp,ms_mhp
2000,adana,akdeniz,1849478,2956,303741,76882,10,9,1,0,0,2052,79,143,1303,0,253,228,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,6,0,3,5,3,2,0,1,0,0,3,2,0,0,1,0,0,,,,,,,
2001,adana,akdeniz,1801033.5,2043,303301,78996.875,10,9,1,0,0,2376,79,111,1606,0,312,243,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,638,479,715,130,233,205,3.49,49,17,0,16,17,5,6,2,2,1,3,5,4,1,2,1,1,0,,,,,,,
2002,adana,akdeniz,1752589,2329,302861,81111.75,11,10,1,0,0,2904,148,161,1836,0,357,335,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,633,466,741,110,232,241,2.67,25,26,1,7,8,2,5,1,1,0,1,12,7,2,2,1,1,0,8,6,7,11,,,
2003,adana,akdeniz,1704144.5,3156,302421,83226.625,12,10,2,0,0,2503,90,135,1568,2,320,320,68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52,664,376,761,113,226,228,1.04,15,5,0,6,5,2,2,0,0,0,0,1,0,1,0,0,2,1,39,22,7,11,,,
2004,adana,akdeniz,1655700,4176,301981,85341.5,12,10,2,0,0,2805,151,106,1790,5,341,349,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,1.4,588,399,678,114,209,202,4.07,46,33,2,10,19,5,4,2,2,0,2,15,5,6,4,0,1,0,39,22,7,11,.59615386,.07692308,.11538462
2005,adana,akdeniz,1607255.5,5160,301541,87456.375,13,10,3,0,0,1749,95,72,1134,5,195,210,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,537,390,624,61,222,191,4.69,65,27,5,9,19,12,6,3,5,0,1,13,6,2,1,0,2,1,39,22,7,11,.66666669,.30769232,0
2006,adana,akdeniz,1558811,5541,301101,89571.25,13,10,3,0,0,2165,105,82,1280,32,269,335,62,0,2188,2165,86,76,211,210,26,38,14,18,15,33,263,253,45,39,332,342,94,90,7,9,59,74,1,1,7,6,3,4,35,27,7,4,17,11,119,103,373,386,239,233,0,0,0,0,0,0,0,0,0,0,235,208,0,0,,1.33,609,365,660,62,229,199,4.35,58,28,2,12,12,9,8,4,3,2,1,11,6,1,1,4,0,1,39,22,7,11,.66666669,.30769232,0
2007,adana,akdeniz,1510366.5,6792,300661,91686.125,12,9,3,0,0,3123,96,84,1657,273,336,554,123,0,2929,3123,88,120,185,232,28,24,6,17,15,20,217,227,43,82,447,426,116,166,7,7,84,70,14,2,9,4,1,2,31,46,39,23,13,15,127,125,816,862,314,350,0,0,0,0,0,0,0,0,0,0,329,303,0,0,,1.43,667,412,702,71,269,183,3.5,50,20,1,12,11,4,7,6,0,2,1,4,2,1,2,0,1,1,6,4,4,11,.66666669,.30769232,0
2008,adana,akdeniz,1461922,7632,300221,93801,13,10,3,0,0,2356,85,98,1261,293,183,352,84,0,2096,2356,83,136,181,215,13,15,7,7,17,25,174,254,47,98,457,463,116,230,25,0,60,65,4,7,10,3,3,0,16,25,7,7,14,10,113,134,298,276,189,124,0,0,0,0,0,0,0,0,0,0,262,262,0,0,,1.51,679,472,713,82,267,269,3.87,54,24,0,8,11,12,8,8,2,2,0,10,5,3,0,1,1,0,46,29,7,11,.66666669,.30769232,0
2009,adana,akdeniz,1493700,6479,312393,115455,11,10,1,0,0,2406,96,123,922,381,256,405,80,143,2220,2406,69,65,228,290,13,20,6,11,23,26,171,203,43,51,356,323,109,105,34,36,70,80,3,2,2,2,0,0,26,28,21,17,12,11,116,124,352,401,133,155,0,0,0,0,0,0,0,0,0,0,427,450,6,6,36,1.73,721,557,895,92,312,285,3.82,55,23,0,14,11,12,12,4,2,0,1,8,7,4,1,0,2,0,46,29,7,11,.47222221,.1388889,.27777779
2010,adana,akdeniz,1516660,7809,340733,121707,10,9,1,0,0,2956,41,203,651,844,249,618,148,202,2571,2956,89,104,265,311,20,16,12,24,22,28,217,230,51,54,387,417,166,271,59,82,86,96,4,4,2,1,2,1,38,48,12,13,6,8,105,134,479,497,264,287,0,0,0,0,0,0,0,0,0,0,280,326,5,4,,1.66,769,507,840,83,279,286,5.59,75,41,1,18,14,13,9,12,5,3,2,23,11,4,1,0,0,0,46,29,7,11,.64102566,.35897437,0
2011,adana,akdeniz,1539715,8072,354770,144333,10,9,1,0,0,2748,40,216,634,755,224,564,100,215,2295,2748,86,136,217,256,14,25,17,17,19,26,167,239,52,99,36,42,255,198,72,83,69,99,3,3,0,4,0,1,31,33,6,10,9,11,132,165,512,575,137,173,229,230,0,0,0,0,0,0,0,0,232,323,0,0,,1.83,813,610,918,107,318,315,4.01,62,22,0,9,10,14,12,11,1,5,2,8,4,4,1,1,1,1,6,4,3,11,.64102566,.35897437,0
2012,adana,akdeniz,1557369,8499,356011,154990,10,7,3,0,0,4541,57,406,1051,1306,340,878,169,334,4554,4541,151,236,482,560,39,58,27,26,49,55,468,447,140,140,77,81,682,492,230,253,169,178,7,9,7,4,3,3,43,50,6,7,6,3,278,329,824,825,180,158,71,20,0,0,0,0,0,0,0,0,615,607,0,0,,1.83,825,601,923,88,332,329,4.01,60,25,2,14,15,8,9,4,2,4,1,9,5,4,2,0,0,4,39,28,10,11,.64102566,.35897437,0
2013,adana,akdeniz,1576993,9079,353256,175254,9,8,1,0,0,6545,84,688,1498,2005,484,1197,222,367,6395,6545,162,213,1110,1046,69,112,46,78,129,123,761,883,139,185,90,87,521,676,377,317,309,291,20,18,15,11,10,10,181,161,23,21,20,19,562,461,586,554,40,10,0,0,159,151,161,144,70,62,144,137,691,775,0,0,,1.9,912,620,919,125,398,290,4.82,69,34,0,29,11,10,9,5,2,2,1,17,3,6,4,3,0,0,39,28,10,11,.64102566,.35897437,0
2014,adana,akdeniz,1593380,8862,362857,191858,10,8,2,0,0,7084,74,749,1491,2146,736,1334,243,311,5246,7084,160,339,842,923,77,151,64,108,113,105,788,1265,158,305,100,150,475,965,263,246,257,295,3,3,10,13,3,7,135,186,38,39,19,19,245,220,312,309,15,16,0,0,188,229,105,100,53,55,126,126,697,910,0,0,15,1.9,932,613,996,128,421,297,5.61,89,32,2,24,19,16,13,9,2,3,5,10,2,9,4,2,0,0,39,28,10,11,.26666668,.2,.53333336
2015,adana,akdeniz,1614122,7991,366471,214943,11,9,2,0,0,7032,81,699,1501,2059,753,1480,261,198,5688,7032,180,291,871,857,96,142,72,98,101,95,866,1290,179,393,101,152,611,868,258,248,190,222,5,5,8,7,7,10,188,216,69,74,15,15,238,251,262,259,21,17,0,0,233,282,73,84,50,47,159,157,835,952,0,0,,1.99,961,637,1069,165,432,332,4.46,65,32,0,11,13,17,9,8,5,2,3,10,5,6,6,0,2,0,5,4,3,2,.61538464,.35897437,.025641026
2016,adana,akdeniz,1633530,7990,391199,228824,12,9,3,0,0,7304,94,712,1589,2214,842,1561,280,12,7626,7304,231,296,891,708,100,149,145,97,109,108,1301,1290,399,335,261,221,805,1059,270,251,308,263,0,3,0,5,0,7,326,255,82,77,0,5,227,189,303,292,0,40,0,0,384,354,75,67,62,49,98,95,1249,1089,0,0,,1.79,848,599,966,141,409,276,5.06,82,29,2,16,20,9,24,8,3,0,3,15,2,7,1,1,0,0,43,27,8,12,.61538464,.35897437,.025641026
